text1,text2,prefix,sub10,lcs,inverted,heap,label
three men  two wearing yellow suits  are looking in the back of a car ,three men looking at a car ,10,1,10,5,15,1
three men  two wearing yellow suits  are looking in the back of a car ,three men breaking into a car ,10,1,10,4,11,0
emergency personnel looking into the back of a car ,people are looking in a car ,0,0,11,3,11,1
emergency personnel looking into the back of a car ,emergency personnel are eating ,20,1,20,2,18,0
some firefighters check a vehicle ,firefighters are checking a car ,0,0,13,2,13,1
some firefighters check a vehicle ,firefighters are rescuing a cat from the tree ,0,0,13,2,13,0
a man in a kitchen is frying breaded food in a cast iron pan ,got some oceanfront property in arizona ,0,0,5,2,4,0
a man in a kitchen is frying breaded food in a cast iron pan ,a man cooks ,6,0,6,4,5,1
a woman in colorful garb with her back to the camera and cloth on her hear ,a woman has her back to the camera ,8,0,24,8,15,1
a woman in colorful garb with her back to the camera and cloth on her hear ,a nun is praying ,2,0,3,1,1,0
a woman in colorful native attire featuring a blue shirt with a colorful design displays her dark hair braided with red ribbons ,a woman is dressed stylishly in native garb ,9,0,9,6,13,1
a woman in colorful native attire featuring a blue shirt with a colorful design displays her dark hair braided with red ribbons ,a woman is dressed to run track ,9,0,9,4,7,0
oddly dressed man walking down the street ,an oddly dressed man walking ,0,0,26,4,19,1
oddly dressed man walking down the street ,a woman enjoying a walk ,0,0,5,0,0,0
a man in ruffles pushes a stroller through a park ,the man is pushing the stroller through his house ,0,0,18,3,18,0
a man in ruffles pushes a stroller through a park ,the man is pushing a stroller ,0,0,12,5,12,1
an oddly dressed man pushing a stroller down a sidewalk in a park ,the man is walking his dog on the beach ,0,0,5,1,3,0
an oddly dressed man pushing a stroller down a sidewalk in a park ,a man wearing weird clothes is walking through a park ,1,0,8,5,8,1
a smiling man cooks something delicious ,the man is cooking,0,0,5,1,3,1
a smiling man cooks something delicious ,the child colors with crayons,0,0,3,0,0,0
a young man wearing a backpack and sunglasses is walking towards a shopping area ,a man walks near a store,2,0,6,4,5,1
a young man wearing a backpack and sunglasses is walking towards a shopping area ,two ducks quacking at each other,0,0,5,0,0,0
a young man wearing a backpack and dark glasses approaches the brick building where there is a bit of graffiti on the wall ,the young man has glasses on his face ,0,0,11,6,15,1
a young man wearing a backpack and dark glasses approaches the brick building where there is a bit of graffiti on the wall ,there is nothing on the wall but bricks ,0,0,13,6,12,0
a brown dog running with two white and brown dogs on the seashore with crashing waves behind them ,the dogs were indorrs waiting for their dinner,0,0,6,2,7,0
a brown dog running with two white and brown dogs on the seashore with crashing waves behind them ,the dogs were outdoors running along the shore,0,0,9,3,14,1
a young man in blue sunglasses walking in front of a red brick building ,a guy with red glasses is sitting here ,2,0,8,3,5,0
a young man in blue sunglasses walking in front of a red brick building ,man in blue glasses walking pass a building,0,0,16,8,19,1
a dog jumps to catch a toy in the snow ,a dog jumps to catch a toy in waikiki ,30,1,30,8,13,0
a dog jumps to catch a toy in the snow ,an animal is jumping in a place that is not hot ,1,0,5,3,4,1
black dog jumping into the air to catch a toy in the snow ,the dog is in the snow ,0,0,13,5,10,1
black dog jumping into the air to catch a toy in the snow ,the dog is playing dead ,0,0,5,3,9,0
a black dog in snow is jumping off the ground to catch a stick ,a dog is catching a stick ,2,0,9,5,10,1
a black dog in snow is jumping off the ground to catch a stick ,a cat is playing fetch ,2,0,4,3,4,0
a person is hanging up pictures of women with a few onlookers watching surrounded by bikes ,people are paying attention to the person hanging pictures,0,0,9,3,21,1
a person is hanging up pictures of women with a few onlookers watching surrounded by bikes ,there are people watching another person hang up pictures ,0,0,15,4,22,1
a person is hanging up pictures of women with a few onlookers watching surrounded by bikes ,the people are in the ocean,0,0,3,0,0,0
a person is hanging up pictures of women with a few onlookers watching surrounded by bikes ,the person is hanging pictures ,0,0,19,4,21,1
a person is hanging up pictures of women with a few onlookers watching surrounded by bikes ,no one is hanging up pictures at all ,0,0,24,4,17,0
a person is hanging up pictures of women with a few onlookers watching surrounded by bikes ,somebody is hanging up pictures while people watch ,0,0,24,4,17,1
a person is hanging up pictures of women with a few onlookers watching surrounded by bikes ,the people are outdoors ,0,0,3,0,0,1
a person is hanging up pictures of women with a few onlookers watching surrounded by bikes ,a creepy guy is putting his favorite photos of the woman he s stalking up in his shrine to her ,2,0,7,5,6,0
a person is hanging up pictures of women with a few onlookers watching surrounded by bikes ,the person is sleeping ,0,0,11,2,8,0
a person is hanging up pictures of women with a few onlookers watching surrounded by bikes ,the person is cooking in a cafeteria ,0,0,11,4,9,0
five men  one wearing a white shirt standing on something  hanging up a picture of a child ,men are hanging something on the wall ,0,0,11,4,19,1
five men  one wearing a white shirt standing on something  hanging up a picture of a child ,the men are walking to the nearest gentleman s club ,0,0,6,1,3,0
five men  one wearing a white shirt standing on something  hanging up a picture of a child ,a group of men are hanging a picture on a wall ,0,0,12,8,17,1
five men  one wearing a white shirt standing on something  hanging up a picture of a child ,a man in a black shirt hangs a picture ,0,0,11,5,13,0
five men  one wearing a white shirt standing on something  hanging up a picture of a child ,there s a group of men hanging up a picture ,0,0,22,8,17,1
five men  one wearing a white shirt standing on something  hanging up a picture of a child ,five men are helping a child to hang a picture ,9,0,11,7,16,0
five men  one wearing a white shirt standing on something  hanging up a picture of a child ,a man is hanging a picture of a child ,0,0,22,7,19,1
five men  one wearing a white shirt standing on something  hanging up a picture of a child ,a man is hanging up a picture of a child ,0,0,33,8,19,1
five men  one wearing a white shirt standing on something  hanging up a picture of a child ,some men are outside in a field ,0,0,6,4,5,0
five men  one wearing a white shirt standing on something  hanging up a picture of a child ,a man is holding up a child ,0,0,9,5,8,0
there are four eastern guys working on and hanging pictures of humans ,the women are working ,3,0,9,2,10,0
there are four eastern guys working on and hanging pictures of humans ,the men are working ,3,0,9,2,10,1
a man in a white shirt hangs a painting in a run down store while other men watch ,men are indoors ,0,0,4,1,3,1
a man in a white shirt hangs a painting in a run down store while other men watch ,men are at a football game ,0,0,4,5,5,0
men are playing soccer  the one in front is about to kick the ball ,the guys are standing on a dock ,0,0,5,3,9,0
men are playing soccer  the one in front is about to kick the ball ,the guys are playing a game ,0,0,13,4,13,1
a man is putting up a poster in front of a shop ,the man is taking down the poster ,0,0,8,3,11,0
a man is putting up a poster in front of a shop ,a man is cleaning a bathroom in a shop ,9,0,9,7,9,0
a man is putting up a poster in front of a shop ,the man is waiting for a bus ,0,0,8,5,6,0
a man is putting up a poster in front of a shop ,a woman walks into a comic book shop ,2,0,6,4,6,0
a man is putting up a poster in front of a shop ,a man is decorating a shop ,9,0,9,6,9,1
a man is putting up a poster in front of a shop ,the man is putting up a poster ,0,0,28,8,16,1
a man is putting up a poster in front of a shop ,the man is indoors ,0,0,8,2,5,0
a man is putting up a poster in front of a shop ,a man hangs a poster in front of a shop ,6,0,29,9,15,1
a man is putting up a poster in front of a shop ,there is a man in front of the shop ,0,0,13,9,12,1
a man is putting up a poster in front of a shop ,a man is standing in front of a shop ,9,0,20,9,12,1
the arsenal football club warms up on the soccer field as a few fans watch ,a basketball team during warm ups ,0,0,6,1,1,0
the arsenal football club warms up on the soccer field as a few fans watch ,a football soccer club during warm ups ,0,0,10,4,18,1
soccer players warm up by kicking the soccer ball around while the crowd waits ,the players were on a bus which broke down on the highway,0,0,10,3,13,0
soccer players warm up by kicking the soccer ball around while the crowd waits ,the crowd looked on while the players prepared themselves ,0,0,11,5,17,1
people sit and relax next to a pool in a plaza ,this is the pool of queen elizabeth ii  and these people are hessians from the revolutionary war ,0,0,7,3,13,0
people sit and relax next to a pool in a plaza ,people lounge about a pool ,7,0,8,4,11,1
in a bowling alley  a man holding a green bowling ball looks ahead at the pins that he must knock down ,a man is bowling ,0,0,9,6,17,1
in a bowling alley  a man holding a green bowling ball looks ahead at the pins that he must knock down ,the man is bowling with a frozen turkey ,0,0,9,7,17,0
a man wearing blue jeans and red bowling shoes stands in a bowling alley lane with a green ball in his hand ,a man stands in a bowling alley lane ,6,0,32,11,20,1
a man wearing blue jeans and red bowling shoes stands in a bowling alley lane with a green ball in his hand ,a man sits in an airport ,6,0,6,6,7,0
a guy stands with a green bowling ball in his hand  and looks down the bowling lane ,some man play football ,0,0,5,0,0,0
a guy stands with a green bowling ball in his hand  and looks down the bowling lane ,a man plays bowling ,2,0,9,4,15,1
a man holding a green bowling ball stands by the ball return machine in a bowling alley ,a woman holding a green bowling ball stands by the ball return machine in a bowling alley ,2,0,86,16,21,0
a man holding a green bowling ball stands by the ball return machine in a bowling alley ,a person holding a green bowling ball stands by the ball return machine in a bowling alley ,2,0,84,16,21,1
a man is standing up holding a green bowling ball with his right hand ,a man is riding a horse on the beach ,9,0,9,4,6,0
a man is standing up holding a green bowling ball with his right hand ,a man is bowling ,9,0,9,5,12,1
a group of people sitting at a table outside talking ,a group sits outside while talking ,8,0,10,5,19,1
a group of people sitting at a table outside talking ,a man stands at the bar ordering drinks for his friends ,2,0,4,3,4,0
a group of men and women are having a discussion in a restaurant ,a group of men and women converse,25,1,25,8,13,1
a group of men and women are having a discussion in a restaurant ,a crowd has a discussion in a hospital,2,0,19,5,13,0
a group of adults is having a discussion at a table under a tent ,people are having a discussion ,0,0,21,6,17,1
a group of adults is having a discussion at a table under a tent ,the old dog is eating potatoes ,0,0,4,1,2,0
a group of people sitting around a picnic table ,the people are standing in the gym ,0,0,8,1,6,0
a group of people sitting around a picnic table ,the people are near the table ,0,0,8,2,11,1
a group of people gathers on the grass in a backyard with tents  tables  and chairs set up ,a group of people gathering on the concrete ,24,1,24,7,14,0
a group of people gathers on the grass in a backyard with tents  tables  and chairs set up ,a group of people gathering on the grass ,24,1,24,8,16,1
one soccer team is playing against another ,people are playing a sport ,0,0,10,1,7,1
one soccer team is playing against another ,no one is playing soccer ,0,0,12,4,16,0
a black dog swimming in water near rocks ,a dog is laying in front of a fireplace ,2,0,7,3,6,0
a black dog swimming in water near rocks ,a dog is outside playing in the water ,2,0,7,4,10,1
the three boys are all holding onto a flotation device in the water ,three boys are in a body of water ,2,0,15,6,14,1
the three boys are all holding onto a flotation device in the water ,the three boys are surfing ,19,1,19,5,12,0
a soccer game where the team in yellow is attempting to advance past the team in white towards the goalie wearing a black top and blue shorts ,a soccer game is in progress ,14,1,14,7,12,1
a soccer game where the team in yellow is attempting to advance past the team in white towards the goalie wearing a black top and blue shorts ,the team in yellow is playing a hockey game ,0,0,22,12,14,0
a soccer game where the team in yellow is attempting to advance past the team in white towards the goalie wearing a black top and blue shorts ,the goalie wants to prevent a goal ,0,0,12,7,12,1
a soccer game where the team in yellow is attempting to advance past the team in white towards the goalie wearing a black top and blue shorts ,the goalie is sitting down on the sideline  wearing a white top and red shorts ,0,0,11,12,19,0
a soccer game where the team in yellow is attempting to advance past the team in white towards the goalie wearing a black top and blue shorts ,a soccer game is happening ,14,1,14,5,12,1
a soccer game where the team in yellow is attempting to advance past the team in white towards the goalie wearing a black top and blue shorts ,the soccer goalie  is wearing long pants ,0,0,9,7,19,0
a soccer game where the team in yellow is attempting to advance past the team in white towards the goalie wearing a black top and blue shorts ,the team in yellow is defending ,0,0,22,9,14,0
a soccer game where the team in yellow is attempting to advance past the team in white towards the goalie wearing a black top and blue shorts ,no game is playing ,0,0,6,2,6,0
a soccer game where the team in yellow is attempting to advance past the team in white towards the goalie wearing a black top and blue shorts ,a group of people are playing a game of soccer ,2,0,8,4,11,1
a soccer game where the team in yellow is attempting to advance past the team in white towards the goalie wearing a black top and blue shorts ,there is a soccer game with a team in yellow ,0,0,16,10,16,1
a group of people are playing soccer and two players from opposing teams are battling for the ball ,a soccer game ,2,0,8,2,7,1
a group of people are playing soccer and two players from opposing teams are battling for the ball ,men playing baseball ,0,0,9,1,7,0
a soccer match between a team with white jerseys  and a team with yellow jerseys ,a competition is happening ,2,0,2,3,3,1
a soccer match between a team with white jerseys  and a team with yellow jerseys ,the teams play street hockey ,0,0,5,0,0,0
a young woman is playing the violin ,the woman is eating her violin ,0,0,10,4,14,0
a young woman is playing the violin ,the young violinist is a woman ,0,0,7,5,13,1
people relax around a large community fountain in a park ,business men are working near a fountain ,0,0,10,3,10,0
people relax around a large community fountain in a park ,community members are spending time in the park near a foundtain ,0,0,10,5,15,1
a woman playing the violin with sunglasses on her head ,someone is playing an instrument,0,0,9,1,7,1
a woman playing the violin with sunglasses on her head ,a woman is eating dinner,8,0,8,2,6,0
a female violinist surrounded by other violinists ,a female violinist surrounded by wolverines ,33,1,33,5,25,0
a female violinist surrounded by other violinists ,a violinist among other string musicians,2,0,11,3,15,1
a man  wearing revolutionary period clothes  is ringing a bell ,a man  wearing a revolutionary apparel is making noise with a bell ,15,1,15,7,24,1
a man  wearing revolutionary period clothes  is ringing a bell ,a man is outside riding his bike ,6,0,6,4,6,0
a couple of people working around a pile of rocks ,people are working ,0,0,10,2,13,1
a couple of people working around a pile of rocks ,people are playing on a playground ,0,0,7,3,8,0
a man wearing a gray cap is looking down ,a man is wearing a cap,6,0,11,6,13,1
a man wearing a gray cap is looking down ,a man is looking up,6,0,12,5,12,0
an older man dressed in blue historical clothing is ringing a bell in his right hand ,police pepper spray protesters,0,0,3,0,0,0
an older man dressed in blue historical clothing is ringing a bell in his right hand ,man ringing a bell,0,0,15,4,14,1
three young children consisting of two girls and a boy who is holding an apple with a bite out of it  are posing on a scenic mountain view background ,three children are kicking the camera man ,6,0,10,3,16,0
three young children consisting of two girls and a boy who is holding an apple with a bite out of it  are posing on a scenic mountain view background ,the boy ate the entire apple ,2,0,7,2,8,0
three young children consisting of two girls and a boy who is holding an apple with a bite out of it  are posing on a scenic mountain view background ,the three young childeren were hold an apple with a bite on it,2,0,23,11,15,1
three young children consisting of two girls and a boy who is holding an apple with a bite out of it  are posing on a scenic mountain view background ,girls and boys are having fun outdoors,0,0,10,3,11,1
three young children consisting of two girls and a boy who is holding an apple with a bite out of it  are posing on a scenic mountain view background ,the kids are swimming,2,0,5,1,3,0
three young children consisting of two girls and a boy who is holding an apple with a bite out of it  are posing on a scenic mountain view background ,the elderly women are posing for a picture ,2,0,12,5,10,0
three young children consisting of two girls and a boy who is holding an apple with a bite out of it  are posing on a scenic mountain view background ,kids pose in front of a mountain background ,0,0,12,7,20,1
three young children consisting of two girls and a boy who is holding an apple with a bite out of it  are posing on a scenic mountain view background ,a woman drinks wine ,0,0,3,3,3,0
three young children consisting of two girls and a boy who is holding an apple with a bite out of it  are posing on a scenic mountain view background ,three children pose for a picture ,6,0,10,5,14,1
three young children consisting of two girls and a boy who is holding an apple with a bite out of it  are posing on a scenic mountain view background ,a group of children are posing ,0,0,12,8,17,1
two little girls  one in a green jacket and one in a pink jacket  and a little boy in a green jacket holding an apple sitting on a rock ,three kids are sitting on a rock ,1,0,20,8,13,1
two little girls  one in a green jacket and one in a pink jacket  and a little boy in a green jacket holding an apple sitting on a rock ,a bunch of old people sit on a rock ,0,0,11,7,7,0
an old man wearing khaki pants and a brown shirt standing on the sidewalk in front of a building ,the old man is standing outside of a building ,0,0,15,8,19,1
an old man wearing khaki pants and a brown shirt standing on the sidewalk in front of a building ,an old man is standing by a building in downtown ,11,1,12,8,19,1
an old man wearing khaki pants and a brown shirt standing on the sidewalk in front of a building ,the old man is taking a nap at a house ,0,0,9,5,9,0
a man in costume is ringing a bell ,a man in costume is reading a book ,21,1,21,6,12,0
a man in costume is ringing a bell ,a man is playing an instrument ,7,0,7,4,6,1
two female medical personnel read their charts ,the women work in the health field ,1,0,4,0,0,1
two female medical personnel read their charts ,the women are playing a game of badminton ,1,0,3,0,0,0
a person in an orange shirt is laying on the ground while others are standing around her  smiling ,the person is in blue and running,0,0,9,4,11,0
a person in an orange shirt is laying on the ground while others are standing around her  smiling ,a person in orange,12,1,12,4,14,1
two men stand around a mixing bowl ,two men are around a bowl ,8,0,10,5,13,1
two men stand around a mixing bowl ,two men are eating junk food in a car ,8,0,8,3,7,0
five people on stage performing and acting while girl lay s on belly ,the group of actors performs on the street corner ,0,0,8,2,4,0
five people on stage performing and acting while girl lay s on belly ,a groups of people acts on stage ,0,0,10,4,13,1
four people are acting behind a woman in a yellow shirt is lying on the ground ,a woman is lying down ,0,0,10,5,12,1
four people are acting behind a woman in a yellow shirt is lying on the ground ,people are dancing outside in the rain ,0,0,11,4,12,0
two men cook together with a metal bowl  near a hanging plant ,two men discussing on business in office,8,0,8,2,6,0
two men cook together with a metal bowl  near a hanging plant ,near a hanging plant  a metal bowl was used to cook by two mens,0,0,21,9,17,1
a woman on a yellow shirt is on the floor ,a woman on top of her clothes ,11,1,11,5,9,1
a woman on a yellow shirt is on the floor ,a woman sleeping on her bed,8,0,8,5,9,0
two men share a laugh while in the kitchen ,two men are in the kitchen ,8,0,17,5,13,1
two men share a laugh while in the kitchen ,two men engage in a fight while in the kitchen ,8,0,22,7,15,0
two men are cooking in the kitchen using rice milk ,the men go out to eat at a restaurant ,1,0,5,2,6,0
two men are cooking in the kitchen using rice milk ,two guys cook using some rice milk ,4,0,11,4,13,1
a man windsurfs in a wetsuit ,a man is swimming in the ocean ,6,0,6,4,6,0
a man windsurfs in a wetsuit ,a man is windsurfing ,6,0,9,3,5,1
a kite surfer begins to fall in the ocean ,a kite surfer is falling,14,1,14,3,11,1
a kite surfer begins to fall in the ocean ,a kite surfer is flying,14,1,14,3,11,0
a windsurfer is balancing on choppy water ,there is a windsurfer balancing on choppy water ,0,0,27,7,25,1
a windsurfer is balancing on choppy water ,there is a windsurfer who fell on the ground ,0,0,13,4,14,0
a man wakeboards on choppy water ,a woman wakeboards on choppy water ,2,0,31,5,21,0
a man wakeboards on choppy water ,a man is wakeboarding ,6,0,10,2,4,1
a man parasails in the choppy water ,the water was choppy as the man parasailed ,0,0,13,4,14,1
a man parasails in the choppy water ,the man parasailed in the calm water ,0,0,13,4,11,0
a woman in a white dress with a tiara sings in a chorus  which has a row of men in sailor hats ,the chorus is singing ,0,0,8,1,6,1
a woman in a white dress with a tiara sings in a chorus  which has a row of men in sailor hats ,the woman wearing a tiara is getting married ,0,0,9,7,11,0
a child using a woodworking tool,the child is in the bathroom,0,0,7,1,5,0
a child using a woodworking tool,the child is working with wood ,0,0,8,1,5,1
a little kid enjoying some sledding on a winter day ,the kid is wearing skates ,0,0,6,1,3,0
a little kid enjoying some sledding on a winter day ,there is snow on the ground ,0,0,4,1,2,1
a person is looking at water jets ,the person is at a car lot ,0,0,11,4,10,0
a person is looking at water jets ,the person is interested in a water jet ,0,0,11,4,13,1
two people enjoying a water fountain display ,two people by a fountain,11,1,11,4,17,1
two people enjoying a water fountain display ,one dog sleeping,0,0,3,0,0,0
a boy in a red and blue shirt painting a log ,a boy painting a log ,6,0,16,6,14,1
a boy in a red and blue shirt painting a log ,a girl aslee on a log ,2,0,7,4,5,0
child in red and blue shirt painting a log ,a log is being painted by a child ,0,0,6,3,9,1
child in red and blue shirt painting a log ,a child in a multicolored shirt is painting a log,0,0,15,6,18,1
child in red and blue shirt painting a log ,the log is chasing the child ,0,0,6,2,8,0
child in red and blue shirt painting a log ,the child is painting the wood ,0,0,10,2,13,1
child in red and blue shirt painting a log ,the child is painting ,0,0,10,2,13,1
child in red and blue shirt painting a log ,the child in the purple shirt is playing basketball ,0,0,9,3,12,0
child in red and blue shirt painting a log ,the child uses a log to float down the river ,0,0,7,3,9,0
child in red and blue shirt painting a log ,the child is wearing a green shirt ,0,0,7,3,11,0
child in red and blue shirt painting a log ,the child is painting ,0,0,10,2,13,1
child in red and blue shirt painting a log ,this crazy dog in a yellow shirt learned how to paint ,0,0,7,3,8,0
two people are next to a fountain with a red bottom and arches of water ,a man is sitting on the couch ,0,0,2,2,2,0
two people are next to a fountain with a red bottom and arches of water ,two people are next to a fountain together ,34,1,34,8,18,1
an expectant woman happily lets another listen to the baby inside of her ,a woman shares photos of her unborn child smiling ,1,0,8,3,10,0
an expectant woman happily lets another listen to the baby inside of her ,a pregnant lady shares the sounds of her pregnancy ,1,0,8,3,8,1
soccer players on a field from a distance ,soccer players are in a jacuzzi ,15,1,15,4,14,0
soccer players on a field from a distance ,there are soccer players on the field ,0,0,18,4,18,1
busy chinatown street corner where people are walking past an open front store ,the people hang out in france ,0,0,9,1,6,0
busy chinatown street corner where people are walking past an open front store ,there are people in chinatown ,0,0,11,3,18,1
a girl wearing a dress is blowing bubbles at a dock ,a human wearing a dress ,2,0,17,5,13,1
a girl wearing a dress is blowing bubbles at a dock ,a man wearing a dress at the dock ,2,0,17,7,16,0
a man wearing a blue shirt is sitting on a brick planter next to some paintings ,a man is sitting down ,6,0,12,6,12,1
a man wearing a blue shirt is sitting on a brick planter next to some paintings ,a man is walking down the street ,6,0,6,5,6,0
a child in formal clothing is walking along the edge of a stony area that is littered in places ,the ground is pristine ,0,0,4,3,7,0
a child in formal clothing is walking along the edge of a stony area that is littered in places ,someone is wearing formal clothes ,0,0,13,3,10,1
a young boy wearing a light blue jacket walks across the brick patio ,boy walks accross patio,0,0,9,3,13,1
a young boy wearing a light blue jacket walks across the brick patio ,girl sits on floor,0,0,2,0,0,0
a young boy with a blue coat makes a funny face as he walks towards the grass ,the child was walking near the grass making a funny face ,0,0,14,7,14,1
a young boy with a blue coat makes a funny face as he walks towards the grass ,the man was walking near the grass making a funny face ,0,0,14,7,14,0
a little boy with a blue jacket is making a sour face at the camera ,the boy is smiling broadly ,0,0,6,3,8,0
a little boy with a blue jacket is making a sour face at the camera ,the boy mugs for the camera ,0,0,12,3,12,1
people in a truck full of sacks in a field full of sheep ,nobody in a truck,0,0,11,5,9,0
people in a truck full of sacks in a field full of sheep ,some humans in a truck,0,0,11,5,9,1
three construction workers posing with construction materials ,the workers are standing still ,2,0,9,1,7,1
three construction workers posing with construction materials ,the workers are doctors ,2,0,9,1,7,0
three people stand proudly by a truck stocked with building supplies in the street ,peole stand by a building supply truck ,0,0,15,5,18,1
three people stand proudly by a truck stocked with building supplies in the street ,a woman bowls a perfect game ,0,0,3,1,1,0
three working men smile in front of a truck while holding construction equipment ,there is no one working today ,2,0,10,1,7,0
three working men smile in front of a truck while holding construction equipment ,there are three men working ,2,0,9,3,15,1
three men are smiling and posing behind a truck loaded with various construction supplies ,three men are not smiling,14,1,14,4,15,0
three men are smiling and posing behind a truck loaded with various construction supplies ,three men are smiling,21,1,21,4,15,1
a view of a marketplace full of people in an asian country ,a lonely place in east africa ,2,0,6,3,4,0
a view of a marketplace full of people in an asian country ,a view of a crowed place in an asian country ,12,1,22,9,16,1
a woman in blue jeans and a dark jacket walks in front of a building ,a woman walked pasted the front of a building ,8,0,21,7,18,1
a woman in blue jeans and a dark jacket walks in front of a building ,the woman is wearing pink shorts and blue jacket ,0,0,8,4,15,0
the surfer catches a big wave but stays on his board ,the person is surfing ,4,0,5,1,3,1
the surfer catches a big wave but stays on his board ,the person is skating ,4,0,4,1,3,0
the dogs run and play with a red ball ,the dogs are playing with a ball ,9,0,9,5,12,1
the dogs run and play with a red ball ,the ball is blue ,4,0,6,2,7,0
a white dog running in the backyard ,the dog is running ,0,0,9,3,13,1
a white dog running in the backyard ,the dog is sleeping ,0,0,6,2,6,0
a woman wearing orange looking upward ,a woman gazes at her shoes,8,0,8,2,6,0
a woman wearing orange looking upward ,a woman gazes skyward,8,0,8,2,6,1
gray dog running down pavement toward laundry line in courtyard ,a dog is stuck in a tree ,0,0,5,2,5,0
gray dog running down pavement toward laundry line in courtyard ,a dog is running outdoors ,0,0,9,2,10,1
a dog is chasing a ball in a backyard ,a cat is playing with yarn in the kitchen ,2,0,4,5,5,0
a dog is chasing a ball in a backyard ,a dog is playing in the grass ,9,0,9,6,7,1
an older couple posing in front of a fountain for a picture,a couple taking a picture,1,0,10,4,14,1
an older couple posing in front of a fountain for a picture,a couple sleeping in a hotel room,1,0,8,4,9,0
older couple posing for a picture in front of a fountain ,an couple is outside ,0,0,8,1,6,1
older couple posing for a picture in front of a fountain ,an older couple are inside ,0,0,13,2,11,0
the parents of the younger male are posing for a picture in front of a water fountain ,a photographer takes a picture of the boy s parents by the fountain ,0,0,11,9,22,1
the parents of the younger male are posing for a picture in front of a water fountain ,a girl and her parents sit by the fountain ,0,0,10,6,18,0
a man and woman watching two kids while the man holds a balloon ,the man is carrying a child ,0,0,8,5,9,0
a man and woman watching two kids while the man holds a balloon ,the man is holding a balloon ,0,0,11,6,13,1
a group of people sitting at some sort of gathering ,people are together,0,0,7,1,6,1
a group of people sitting at some sort of gathering ,the woman sat at the table alone,0,0,4,1,2,0
a couple pose in front of a fountain ,there are two people in this picture,0,0,5,1,2,1
a couple pose in front of a fountain ,they are waiting to be picked up by aliens,0,0,3,0,0,0
two women standing under an umbrella ,two humans close together,4,0,4,1,3,1
two women standing under an umbrella ,two guys walking in the rain,4,0,4,1,3,0
a brown dog is jumping up at a woman who is wearing a brown skirt ,a dog is being friendly ,2,0,8,6,7,1
a brown dog is jumping up at a woman who is wearing a brown skirt ,a dog attacks a man ,2,0,5,4,5,0
one dog is jumping at the lady while the other walks away ,two dogs are sleeping next to the lady ,0,0,10,3,10,0
one dog is jumping at the lady while the other walks away ,a lady is near two dogs ,0,0,6,2,6,1
a golden retriever is excitedly greeting a woman as a little dog walks towards the camera ,both of the dogs are corgis ,0,0,5,1,3,0
a golden retriever is excitedly greeting a woman as a little dog walks towards the camera ,two dogs rest in the sandbox ,0,0,5,1,3,0
a golden retriever is excitedly greeting a woman as a little dog walks towards the camera ,a cat chases the golden retriever ,2,0,18,6,18,0
a golden retriever is excitedly greeting a woman as a little dog walks towards the camera ,two dogs are near a woman ,0,0,9,4,7,1
a golden retriever is excitedly greeting a woman as a little dog walks towards the camera ,a little dog rides on top of the golden retriever,2,0,17,8,21,0
a golden retriever is excitedly greeting a woman as a little dog walks towards the camera ,the woman is greeted by the dog,0,0,7,4,11,1
a golden retriever is excitedly greeting a woman as a little dog walks towards the camera ,there are at least two dogs present ,0,0,4,0,0,1
a golden retriever is excitedly greeting a woman as a little dog walks towards the camera ,two dogs are both excited ,0,0,8,0,0,1
a golden retriever is excitedly greeting a woman as a little dog walks towards the camera ,the dog is running away from the woman ,0,0,7,4,11,0
a golden retriever is excitedly greeting a woman as a little dog walks towards the camera ,there are two dogs present ,0,0,4,0,0,1
kids building and destroying objects ,kids are playing with things ,5,0,5,1,4,1
kids building and destroying objects ,kids are playing with live grenades ,5,0,5,1,4,0
children playing with broken office equipment ,children play baseball in the street ,13,1,13,1,8,0
children playing with broken office equipment ,children play with old equipment ,13,1,13,3,21,1
two children are building something on the floor ,two children are playing ,17,1,17,3,14,1
two children are building something on the floor ,three people order from a menu ,1,0,2,0,0,0
children playing with or cleaning up miscellaneous items ,kids putting away toys ,0,0,4,0,0,1
children playing with or cleaning up miscellaneous items ,adults working in a garden ,0,0,4,0,0,0
young children outside playing with computer junk on the ground ,the children are swimming ,0,0,10,2,11,0
young children outside playing with computer junk on the ground ,the children are playing ,0,0,10,3,18,1
two dogs playing on carpet ,the dogs are in kennels ,1,0,6,1,4,0
two dogs playing on carpet ,two dogs are together ,9,0,9,2,7,1
two bulldogs playing on the floor ,the dogs are indoors,1,0,5,1,3,1
two bulldogs playing on the floor ,the dogs are sitting,1,0,5,1,3,0
two dogs are playing and wrestling with each other ,two cats are chasing each other through the house ,4,0,12,4,12,0
two dogs are playing and wrestling with each other ,a pair of dogs is playing ,0,0,9,2,11,1
two dogs are playing together on white carpet near a couch ,three dogs are sleeping in the grass ,1,0,10,2,7,0
two dogs are playing together on white carpet near a couch ,two dogs play ,9,0,9,2,7,1
a scuba diver stands on top of rocks after emerging from the water ,a scuba diver performnef on top of rocks ,14,1,17,7,15,1
a scuba diver stands on top of rocks after emerging from the water ,a scuba diver never knows to dive ,14,1,14,3,11,0
two dogs wrestle ,two dogs together ,9,0,9,2,7,1
two dogs wrestle ,two dogs sleeping together ,9,0,9,2,7,0
